majority_entry,population
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Minor,11600000
Adult,143000000
Adult,143000000
Adult,143000000
Minor,143000000
Adult,143000000
Adult,143000000
Minor,143000000
Adult,143000000
Minor,143000000
Adult,143000000
Adult,143000000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
